name,registration_number,address,registration_date,renewed_on,valid_upto,district,country,remarks,source_name
PULSE Bangladesh-Society,0836,"Jhilonjha (Oppsite to BGS Camp Mosque), Cox'sBazar Phone: 0341-64412, 01822913356",1994-06-06,2019-06-06,2029-06-06,Cox'sBazar,Bangladesh,Name change on 18/06/2020,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Purbasa,2298,"Vill.+Post: Alfadanga, Upazilla: Alfadanga, Dist.: Faridpur",2008-01-02,,2013-01-02,Faridpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Purnima,1762,"House-161, Road-11, Nirala R/A, Khulna. Mob: 01922105006 email:purnimangobd@gmail.com",2002-11-16,2017-11-16,2027-11-15,Khulna,Bangladesh,"Cancelled on 11/07/2010, Revived on 12/5/2016",Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Puspo,1786,"100/1/A, Khilgaon Tilpapara, Dhaka Phone: 7214779, 7215145",2003-01-12,2008-01-12,2013-01-12,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
PUSPO Bangladesh,2468,"Post Office Road, Mithapukur, Rangpur Phone: 01716-752610",2009-07-09,2019-07-09,2029-07-08,Rangpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Q K Ahmad Foundation,3221,"4/C, Eskaton Garden, Dhaka-1000, Mob:",2019-10-20,,2029-10-20,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Quality Education Foundation,2126,"63. New Eskaton Road, Dhaka.",2006-08-21,,2011-08-21,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Quasem Foundation,0842,"Alamin Aikon Centre, Plot-57/4, Progoti Sarani, North Baridhara, Dhaka-1212 Phone :8836806-9, Fax: 8836320 www.quasemfoundation.com",1994-07-16,2025-07-16,2035-07-15,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Racine,1339,"165/1, New Godaon Road, Middle Alipur, Faridpur-7800 Phone: 0631-65642",1999-01-18,2019-01-23,2029-01-22,Faridpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Radda MCH-FP Centre,0958,"Plot # 324, Road # 6, Block - B, Section-10, Mirpur, Dhaka Phone : 9000284, 8011303",1995-07-09,2020-07-09,2030-07-09,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rahmatunnessa Shikha Unnayan Foundation (RSUF),3142,"Village: Paturia, Post: Gee Comla, Kalukhali, Rajbari",2018-03-14,,2028-03-14,Rajbari,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rainbow Bridge Foundation,2259,"74, Senpara Parbata, Mirpur-10, Dhaka-1216 Phone: 9001027",2007-08-08,2012-08-08,2017-08-08,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rainbow Nari O Shishu Kallyan Foundation,2304,"34/3, M.C. Ray Lane, Dhaka-1211 Phone: 8628908 www.newsletter.com.bd",2008-02-05,2013-02-05,2018-02-05,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rajshahi Christians and Friendship Committee,2713,"Shampur Mashkata Dighi, Rajshahi Phone: 0721-751289",2012-06-26,2017-06-26,2027-06-26,Rajshahi,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rajshahi Social Development Program (RSDP),2788,"Vill: Bidirpur, PO: Bashanta Kader, Mohonpur, Rajshahi Phone: 01726-376367",2013-05-20,2018-05-20,2028-05-20,Rajshahi,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rajush Shechchasebi Shangstha,3051,"Shehala, Doulatpur, Kustia Phone: 01743992600",2016-11-01,,2021-11-01,Kustia,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rakhaine Development Foundation (RDF),0874,"2 C/9, Pallabi, Dhaka-1216 Phone: 9000993",1994-12-24,2014-12-24,2019-12-24,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ramnathpur Bahumukhi Nabayan Sangha,1151,"Vill. Ramkrishnapur, P.O:Ramnathpur, P.S:Badarganj, Dist: Rangpur. Phone: 01713-721225",1997-03-27,2017-03-27,2027-03-26,Rangpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ran Development Society,3238,"Village-Kayapara, Post: Dhanbari, Dhanbari, Tangail, Mob: 01752283784",2020-03-24,,2030-03-24,Tangail,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rangdhanu Society,2017,"56, Old Paltan, Shak Shaping Centre (9th Floor), Dhaka-1000",2005-03-17,,2010-03-17,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rangpur Begum Rokeya Memorial Foundation,3268,"Ashratpur, Post: Cadet College, Rangpur",2021-03-09,,2031-03-09,Rangpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rangpur Dinajpur Rural Service (RDRS),0003,"House-43, Road-10, Sector-06, Uttara Model Town, Dhaka-1230 Phone :8954384-86, 8959383 fax: 8954391 www.rdrsbangla.net",1981-04-22,2020-05-15,2030-05-15,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rangpur Health & Blind Care Foundation,2540,"House-54, Road-02, RK Road, Rangpur. Phone: 0521-63996",2010-02-07,2015-02-07,2020-02-07,Rangpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rangpur Prothibondhi Foundation,3237,"Press Club Complex, Room-15, Sadar Upazila, Rangpur. Mob: 01190331614",2020-03-23,,2030-03-23,Rangpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rangpur Unnayan Samajik Sangstha,0264,"G.L Ray Road, Dohiganj, Mahiganj, Rangpur. Phone: 0521-64415",1988-04-17,2018-04-17,2028-04-17,Rangpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rashmi Human Development organization (RHDO),3298,"House-543,Adarshapara,Ward-08, Bhola-8300 Phone: +8802479966242 email: info@rhdo.org.bd www.rhdo.org.bd",2022-06-19,,2032-06-18,Bhola,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rays of Hope Bangladesh,2130,"9/12, Bank Town, Savar, Dhaka. Phone: 01710-814151 www.raysofhopebd.org",2006-08-24,2016-08-23,2021-08-23,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Razia Idris Jano Kalyan Foundation,3543,"4, Central Basabo, Sabujbagh, Dhaka-1214 Phone: 01312881073, 01675252823 email: mizan.rahman@gmail.com",2025-12-08,,2035-12-07,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Reach to Unreached (RUN),2558,"Rajapur Lodge (GF), Oxford Mission Road, Barisal-8200 Phone: 01712-029336",2010-04-08,2020-04-08,2030-04-07,Barisal,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Reaching People in Need (RPN),2420,"44/2 (1st Floor), Modda Bashabo, Sabuzbag, Dhaka-1214. Phone: 01191766509, 01920757014",2009-03-04,2019-03-04,2029-03-04,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
READI (Research Evaluation and Development Initiative),1867,"House-22, Road-7/C, Sector-9, Uttara, Dhaka.",2003-08-14,2023-08-14,2033-08-13,Gopalganj,Bangladesh,Name Changed on 14-08-2018,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Redeem for Wisdom Education Development and Manner (RWEDM),1614,"House-71, Road-06, Section-C, Sabalia, Tangail Phone: 01735-0505353",2001-01-25,2021-01-25,2031-01-24,Tangail,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Refugee and Migratory Movement Research Unit,1726,"Sattar Bhaban (4th Floor), 3/3-E, Bijoynagar, Dhaka. Phone: 9360338, Fax: 8362441 www.rmmru.org",2002-07-23,2017-07-23,2027-07-23,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Regenerative Action for Kelaidoskapik Human Activities and Learning (RAKHAL),1984,"Road-7/B, House-59, Block-H, Banani, Dhaka. Phone: 987860 www.ptabd.com",2004-11-17,2009-11-17,2014-11-17,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Regional Development Organization (RDO),3485,"Malshapara, Sirajganj Sadar, Sirajganj Phone: 01716668149 email: rdo.sirajganj@gmail.com",2025-07-08,,2035-07-07,Sirajganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rehabilitation Centre for Prostitutes and Rootless Children (PARC),1940,"88, Shah Mohammad Ali Lane, Chakbazar, Kotwali, Chattogram. Phone: 031-612821, 031-610089 www.parcbd.org",2004-06-24,2019-06-24,2029-06-24,Chattogram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rehabilitation Emplopyment & Development For the Youth (READY),3222,"Mollikerber, Rampal, Bagerhat. Mob: 01937589165",2019-10-27,,2029-10-27,Bagerhat,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rehabilitation of Development People (RDP),1064,"34, Nawab Mansion (2nd Floor), Green Road, Dhaka-1205",1996-08-25,2021-08-26,2031-08-25,Dhaka,Bangladesh,"Cancelled on 27/07/2010, Revived on 23/02/2014",Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Reliant Women Development Organization (RWDO),1896,"Nahar Villa, 14 # Rongdhunu, Lakreepara, Shibgonj, Syleht-3100 Phone: 761562",2003-12-27,2018-12-27,2028-12-27,Sylhet,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Reproductive Health Services Training and Education Programme (RH-STEP),0430,"House-1041, Road-45 (Old), Avenue-9, Mirpur DOHS, Dhaka-1216 Phone: 9011195 Fax: 88-02-9013872",1991-01-09,2021-01-09,2031-01-09,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Research & Development Collective,2763,"Mamtaz Plaza, House-07, Road-04, Dhanmondi, Dhaka. Phone: 01912-819255",2013-01-22,,2018-01-22,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Research and Empowerment Organization,3247,"House-05, Road-11, Sector-01, Uttara Model Town, Dhaka, Mob: 01717314333",2020-10-05,,2030-10-05,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Research and Rehabilitation Program for the Disabled (RRD),1929,"House-90/2, Dori Magura, Al Amin Para, Post Box: 08, Magura-7600 Phone: 0488-63180",2004-07-05,2009-05-10,2014-05-10,Magura,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Research Initives Bangladesh (RIB),1709,"House-104, Road-25, Block-A, Banani Dhaka. Phone: 8860830-1, Fax: 8811962 www.rib-bangladesh.org",2002-02-07,2017-02-07,2027-02-07,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Research On Old Towns and Subarbs (ROOTS),1125,"House # 40, Road 14A, Dhanmondi R/A, Dhaka.",1997-01-26,2007-01-26,2012-01-26,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Resorce Development Foundation (RDF),1069,"RDF Tower, Police Line Sarak, Tatali, Thana: Amtali, Barguna Phone : 9134541 www.rdfbd.com",1996-08-31,2026-08-01,2036-07-31,Barguna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Resource Integration and Social Development Association Bangladesh(RISDA),1095,"House-46 (1st Floor), Lane-03, Block-A, Section-06, Mirpur, Dhaka-1216. Phone: 9008133, Fax: 8034545 www.risda.org.bd",1996-11-03,2016-11-03,2026-11-03,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Resource Integration Centre (RIC),0177,"House-20 (New), Road-11 (Old-32), Dhanmondi R/A, Dhaka-1209 Phone: 811475, 8114034",1984-11-26,2020-05-15,2030-05-15,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Resource Mobilization for Development,1079,"Uzzalpur, Maijdee Court, Main Road, Noakhali. Phone: 0321-62785",1996-10-02,2006-10-02,2011-10-02,Noakhali,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rights and Empowerment for Disabled (RED),2055,"eHmouasile: -07, Road-19, Rupnagar R/A, Pallabi, Dhaka. Phone: 8012314",2006-01-03,,2011-01-03,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rights and Sight for Children (RSC),1014,"House-167, Road-3, Mohammadpur Housing Ltd. Mohammadpur, Dhaka-1207 Phone :9135122 www.rscbd.org",1996-03-06,2021-03-06,2031-03-06,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rights Jessore,1303,"RS Bhaban (2nd Floor), Jail Road, Jessore. Phone: 0421-64243",1998-10-26,2018-10-26,2028-10-26,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rishilpi Foundation,3435,"Gopinathpur, Binerpota, Satkhira Phone: 01774976585 email: rishilpifoundation@gmail.com www.rishilpibd.org",2025-03-24,,2035-03-23,Satkhira,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rising Popular Optional Foundation (RPO),3056,"107, Sher-E-Bangla road, Khulna Phone: 01718404021",2016-12-11,2021-12-11,2031-12-10,Khulna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rokeya Foundation,2611,"Haji Siddique Shawodagar Bari, Vill+Post: Dengapara, Patiya-4370, Chattogram Phone: 01316798043, 01316798041",2010-11-22,2020-11-22,2030-11-22,Chattogram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rokeya Health & Educatin Foundation,2962,"House-9/3, Block-B, Lane-1, Section-6, Mirpur, Dhaka-1216 Phone: 9511914",2015-08-30,,2020-08-30,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Roots Bangladesh,2367,"41, Hemendra Das Road, Sutrapur, Dhaka.",2008-06-15,,2013-06-15,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Roots Social Development Programme,1068,"Batikamara, Kumarkhali, Kustia Phone: 07025-76359",1996-08-31,2001-08-31,2006-08-31,Kustia,Bangladesh,"Cancelled on 29/06/2010, Revived on 21/04/2011",Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ropali Halth Care Foundation,3080,"House-43/45, Road-6, Block-F, Sector-1, Islam City, Aftab Nagar, Badda, Dhaka Phone: 01734084083",2017-01-09,,2022-01-09,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
ROVA Foundation,0635,"Vill. Horishpur, P.O. Narkelbaria, Thana Shalikha, Magura Phone: 01711-807352",1992-07-04,2017-07-04,2027-07-04,Magura,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rupali,0753,"Vill. Kishmot Ghona, P.O. Sujanshahi, Thana Tala, Satkhira",1993-09-18,2018-09-18,2028-09-18,Sathkhira,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rupali Mohila Unnayan Songstha,3503,"Chotogar, Purbodhola Road, Netrakona Phone: 01725249137 email: rupalimus.org@gmail.com",2025-09-28,,2035-09-27,Netrakona,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rupali Setu Bandhan Samaj Kallayan Sangstha,2912,"171/1/G(3rd Floor), Ekatoa Housing, Shyamoly, Road-2, Sher E Bangla Nagar, Dhaka Phone: 01716-572620",2015-01-15,2020-01-15,2030-01-15,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rupantar,1170,"19 Akbarbad State, Shirashnagar, Khulna-9100 Phone: 041-731876, Fax: 041-810747 info@rupantar.org",1997-07-10,2017-07-10,2027-07-10,Khulna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rupashi Bangla Unnayan Sangstha (RBUS),3507,"wSawdwa.rruRpoaandtorIn.odrugrkani,Vill:&Post: Indurkani, UZ: Indurkani, Dist: Pirojpur Phone: 01722310486 email:",2025-10-16,,2035-10-15,Pirojpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
RUPSA-Rural & Urban Poors Partner for Social Advancement,2460,"rBuapssuhpibaaran gNlao2rt0h1 K0h@agl mBaanilk.c Romoad, 52, Solaiman Nagar, Khulna. Phone: 041-811666, Fax: 041-811666",2009-06-17,2019-06-17,2029-06-16,Khulna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Advancement Committee for Bangladesh-RAC-Bangladesh,2489,"Nandina, Bajitpur, Kishoreganj Phone: 0942364281",2009-10-07,2019-10-07,2029-10-07,Kishorganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Advancement Council (RAC),1986,"Vill. Badsha, Post: Joy Parbatipur, Dist. Joypurhat. Phone: 01774812416",2004-11-28,2014-11-28,2019-11-28,Joypurhat,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Agricultural Social Development (RASDE),1331,"Ashekpur, Tangail Phone: 0921-54079",1999-01-06,2019-01-06,2029-01-06,Tangail,Bangladesh,"Cancelled on 23/12/2010, Revived on 01/06/2011",Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural and Urban Dev. and Impro. of Socio Econ. Facilities (RUDISEF),1364,"House-260, Lane-19, Lake Road, New DOHS, Mohakhali, Dhaka. Phone: 9880515 www.rudisof.org",1999-04-06,2009-04-06,2014-04-06,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Association for Development,1861,"House-116, Road-29, Adarshapara, Jhenaidah-7300 Phone: 01924-401757",2003-07-22,2018-07-22,2028-07-21,Jhenaidah,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Association for Nutrition Improvement (RANI),3346,"Majedavila, Masterpara, Sadar, Naogaon Phone: 01711451800",2023-03-23,,2033-03-22,Naogaon,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Association for Social Advancement (RASA),3342,"Satpatki, Burirbazar, Mohendranagar, Sadar, Lalmonirhat. Phone: 01793886944, 01991126801 email: rasanazmul2014@gmail.com www.rasabd.org",2023-03-07,,2033-03-06,Lalmonirhat,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Conscionesness Unit (RCU),2335,"Monirampur, Jessore-7440 Phone: 04227-78304",2008-04-17,2013-04-17,2018-04-17,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Development & Educational Organization,2626,"College Road, Jiban Nagar, Chuadanga. Phone: 0762475506",2011-03-14,2016-03-14,2026-03-14,Chuadanga,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Development & Health Centre Foundation,0069,"Shatrumardon, Pagla Bazar, South Sunamganj, Sunamganj Phone: 901732-370445 www.rdhcf.org",1981-04-22,2015-05-15,2020-05-15,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Development Associate,1632,"271, Bagan Bari, P.O: Vairob bazar, Kishorganj Phone: 09424-71887",2001-04-18,2016-04-18,2026-04-18,Kishorganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Development Concern,2809,"Road-03, House-07, Siddikia Road, College Para, Magura. Phone: 01712-279378",2013-08-19,2018-08-19,2028-08-19,Magura,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Development Foundation (RDF),0380,"Mataincourt, Post: Alisshar, Upazilla: Sadar Dakkin, Comilla. Phone: 01799-424272",1990-05-07,2020-05-07,2030-05-06,Comilla,Bangladesh,"Cancelled on 23/12/2010, Revived on 25/5/2016",Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Development Sangstha (RDS),2789,"49, Gerinda, Narayanpur, Sherpur. Phone: 01711-186703",2013-05-30,2018-05-30,2028-05-30,Sherpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Development Society (RDS),2318,"Tokyo Tower, Wapda Road, Jikorgacha Busstand, Tokeyo Tower, Post+Upazila: Jikorgacha, Dist. Jessore Phone: 01734-473987",2008-03-12,2023-03-13,2033-03-12,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Development Society (RDS),0879,"Vill. & P.O. Bandhabari, Thana Kotalipara, Gopalganj Phone: 01740-906147 www.rdsbd.org",1994-12-24,2019-12-24,2029-12-23,Gopalganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Economic and Agricultural Development Organization of Bangladesh (READOB),1886,"House-20, Road-08, Block-A, Shahjalal Upa-Shahar, Sylhet-3100 Phone: 0821-2860709",2003-11-11,2018-11-11,2028-11-11,Sylhet,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Economic and Social Welfare Organisation (RESWO),1574,"SP Office Lane, Chuadanga-7200 Phone: 0761-63309",2000-10-15,2020-10-15,2030-10-15,Chuadanga,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Economic Development Association (REDA),1387,"23/D, Gulkibari Road, Mymensingh Phone: 091-52035",1999-05-30,2014-05-30,2019-05-30,Mymensingh,Bangladesh,"Cancelled on 29/07/2010, Revived on 14/01/2015",Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Economical Development Organisation (REDO),1308,"Vill+PO: Alenga, UZ: Kalihati, Tangail Phone: 01720-513526",1998-11-12,2018-11-12,2028-11-12,Tangail,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Effective Social Development Organisation (RESDO),1781,"Ukilpara, Arabpur, Jhenaidah Phone: 0451-3640",2002-12-31,2017-12-31,2027-12-31,Jhenaidah,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Energy and Development Initiative (REDI),2170,"House-04 (2nd Floor), Road-06, Block-C, Banani, Dhaka-1213 Phone: 9852944, Fax: 9880501",2006-12-03,2021-12-03,2031-12-03,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Establishment Organization (REO),2164,"Vill.: Karbala (Dreamland House-1st Floor), PO: Jessore-7400, PS: Kotwali, Diat: Jessore. Phone: 0421-62139, 01716236498",2006-11-23,2021-11-23,2031-11-23,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Health and Development Society,0674,"16/A-5 (2nd Fl.), Ring Road, Block-F, Mohammadpur, Dhaka-1207 Phone: 9128565, 9560536",1992-12-20,2012-12-20,2017-12-20,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Health Education & Credit Organisation (RHECO),2742,"Kabi Sukanta Sarak, Adarsha Para, Jhenaidah.",2012-11-12,2017-11-12,2027-11-12,Jhenaidah,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Investment Multipurpose Society (RIMS),2146,"Vill.: South Denayetpur, Post+Upazilla: Raypur, Dist.: Laxipur.",2006-10-16,,2011-10-16,Laxmipur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural People Development Songstha,2395,"Dewanpara, Goalanda, Rajbari Phone: 06423-56261",2008-12-03,,2013-12-03,Rajbari,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Planning & Development Organization (RPDO),2199,"Vill.: Ghagowa, Post: Tarapur, Upazilla: Sundargonj, Dist.: Gaibandha. Phone: 01716-285242",2007-03-01,2017-03-01,2027-03-01,Gaibandha,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Poor Development Organization (RPDO),3549,"House-13, Block-E, Purbo Adalot Para, Green Road, Tangail-1900 Phone: 01712229704 email: rpdobd@yahoo.com",2025-12-28,,2035-12-27,Tangail,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Poverty Alleviation Association (RUPAA),1760,"Bhangoora Bazar, P.O: Bhangoora, Dist: Pabna. Phone: 01718-241607",2002-11-15,2007-11-14,2012-11-14,Pabna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Reconstruction Foundation(RRF),0284,"RRF Bhaban, C&B Road, Karbala, Jessore Phone : 0421-66906, 01733-075095 www.rrf.bd.org",1989-02-13,2019-02-13,2029-02-13,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Society Development Association (RSDA),1251,"Dakkhin Tapurchar, P.O. Tapurchar, Roumari, Kurigram. Phone: 01744-298301",1998-03-11,2018-03-11,2028-03-11,Kurigram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Society Development Program (RSDP),1827,"Dath Bhangga, Rowmari, Kurigram",2003-05-07,2018-05-07,2028-05-07,Kurigram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Underprivileged and Landless Farmer's Organisation,0235,"Khajura, PO: Janarddanbati (Via Madhnagore), Dist: Rajshahi. Phone 0721-775027",1987-08-30,2017-08-30,2027-08-30,Natore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Vision,1299,"Baro Boira, Rayer Mahal, School Road, Khulna Phone: 01711-273418",1998-10-22,2013-10-22,2018-10-22,Khulna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rural Women Development Association (RWDA),2322,"Matiagachi, Barat, Rajbari Phone: 0189-382981",2008-03-23,2013-03-23,2018-03-23,Rajbari,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Rurowa Laue Tathang (RLT),1830,"Vill.- Pankhaya Thana, PO+PS+Dist.- Khangrachari",2003-05-17,,2008-05-17,Khagrachari,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
